,lambda,Dint
0,2.503880105769229,24906670815.140625
1,2.4512680063284917,27758784045.828125
2,2.4008213999034744,29825798030.75
3,2.3524092862114228,31167649883.984375
4,2.3059110224966166,31852945184.921875
5,2.261215319725485,31955087234.734375
6,2.218219353303043,31549247907.828125
7,2.1768279733520877,30710046964.6875
8,2.136953001788675,29509819535.640625
9,2.0985126052645837,28017365316.84375
10,2.0614307345924834,26297086893.9375
11,2.0256366225731015,24408437878.28125
12,1.9910643332470048,22405613972.53125
13,1.9576523565303179,20337431320.28125
14,1.925343242991256,18247346290.65625
15,1.894083274205377,16173579547.8125
16,1.8638221647105513,14149314524.21875
17,1.834512792083216,12202946606.75
18,1.8061109520883105,10358364505.71875
19,1.7785751362269921,8635249461.03125
20,1.751866329327707,7049381404.28125
21,1.7259478251048503,5612943943.6875
22,1.7007850578513641,4334822290.9375
23,1.676345448642397,3220889913.3125
24,1.652598264611079,2274281155.78125
25,1.6295144900182579,1495648062.09375
26,1.6070667079788994,883400447.84375
27,1.5852289918314921,433928910.46875
28,1.5639768052455143,141810854.9375
29,1.5432869102577864,0.0
30,1.523137282513057,0.0
31,1.5035070330588844,132022988.78125
32,1.4843763361110338,385133939.0625
33,1.4657263622642838,747381798.0625
34,1.4475392166756684,1205918326.1875
35,1.4297978817935546,1747105607.875
36,1.412486164247267,2356613140.71875
37,1.3955886455488613,3019505391.1875
38,1.3790906362915798,3720320647.8125
39,1.3629781335590248,4443141951.5625
40,1.3472377812854892,5171660838.0625
41,1.3318568333316037,5889234562.53125
42,1.316823119060749,6578937439.25
43,1.3021250112208398,7223606853.4375
44,1.2877513959533495,7805884477.625
45,1.2736916447669926,8308253163.375
46,1.2599355883275372,8713069940.375
47,1.2464734919279157,9002595522.46875
48,1.2332960325142828,9159020654.875
49,1.2203942771540832,9164489651.96875
50,1.2077596628416274,9001121378.5
51,1.195383977545238,8651027965.875
52,1.1832593424078153,8096331477.0
53,1.1713781950197493,7319178731.6875
54,1.1597332736895605,6301754487.53125
55,1.1483176026435162,5026293135.71875
56,1.13712447809084,3475089067.0
57,1.126147455096025,1630505846.59375
58,1.1153803352042277,-525015688.09375
59,1.1048171547698264,-3008950297.5
60,1.0944521739419597,-5838682070.28125
61,1.0842798662643032,-9031498946.71875
62,1.074294908849493,-12604587932.0625
63,1.0644921730914851,-16575030953.3125
64,1.0548667158818057,-20959801283.875
65,1.0454137712980842,-25775760479.125
66,1.0361287427355022,-31039655779.0
67,1.0270071954538686,-36768117929.0
68,1.0180448495149288,-42977659376.125
69,1.0092375730862788,-49684672807.1875
70,1.0005813760898679,-56905429993.8125
